dataset,condition,graph_id,method,mode,metric,value,edges,src
lin_perfect_d20_e4,lin_perfect_d20_e4,g09,DCDI-jStable,skeleton,SHD,69.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g09/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g07,DCDI-vanilla,directed,SHD,107.0,327.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g07/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g07,DCDI-vanilla,directed,F1,0.3587223587223587,327.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g07/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g07,DCDI-vanilla,skeleton,SHD,102.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g07/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g07,DCDI-jStable,directed,SHD,74.0,123.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g07/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g07,DCDI-jStable,directed,F1,0.3448275862068965,123.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g07/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g07,DCDI-jStable,skeleton,SHD,71.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g07/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g06,DCDI-vanilla,directed,SHD,111.0,314.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g06/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g06,DCDI-vanilla,directed,F1,0.3401015228426396,314.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g06/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g06,DCDI-vanilla,skeleton,SHD,103.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g06/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g06,DCDI-jStable,directed,SHD,83.0,118.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g06/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g06,DCDI-jStable,directed,F1,0.2929292929292929,118.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g06/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g06,DCDI-jStable,skeleton,SHD,79.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g06/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g01,DCDI-vanilla,directed,SHD,100.0,319.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g01/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g01,DCDI-vanilla,directed,F1,0.3859649122807018,319.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g01/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g01,DCDI-vanilla,skeleton,SHD,100.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g01/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g01,DCDI-jStable,directed,SHD,72.0,119.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g01/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g01,DCDI-jStable,directed,F1,0.3417085427135678,119.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g01/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g01,DCDI-jStable,skeleton,SHD,62.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g01/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g08,DCDI-vanilla,directed,SHD,106.0,333.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g08/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g08,DCDI-vanilla,directed,F1,0.3631961259079903,333.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g08/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g08,DCDI-vanilla,skeleton,SHD,102.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g08/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g08,DCDI-jStable,directed,SHD,74.0,119.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g08/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g08,DCDI-jStable,directed,F1,0.3618090452261306,119.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g08/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g08,DCDI-jStable,skeleton,SHD,72.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g08/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g04,DCDI-vanilla,directed,SHD,101.0,322.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g04/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g04,DCDI-vanilla,directed,F1,0.3681592039800995,322.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g04/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g04,DCDI-vanilla,skeleton,SHD,99.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g04/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g04,DCDI-jStable,directed,SHD,78.0,118.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g04/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g04,DCDI-jStable,directed,F1,0.3333333333333332,118.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g04/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g04,DCDI-jStable,skeleton,SHD,73.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g04/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g03,DCDI-vanilla,directed,SHD,112.0,302.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g03/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g03,DCDI-vanilla,directed,F1,0.3507853403141361,302.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g03/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g03,DCDI-vanilla,skeleton,SHD,105.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g03/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g03,DCDI-jStable,directed,SHD,87.0,141.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g03/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g03,DCDI-jStable,directed,F1,0.3257918552036199,141.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g03/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g03,DCDI-jStable,skeleton,SHD,83.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g03/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g02,DCDI-vanilla,directed,SHD,104.0,322.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g02/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g02,DCDI-vanilla,directed,F1,0.3681592039800995,322.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g02/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g02,DCDI-vanilla,skeleton,SHD,103.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g02/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g02,DCDI-jStable,directed,SHD,78.0,126.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g02/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g02,DCDI-jStable,directed,F1,0.3398058252427184,126.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g02/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g02,DCDI-jStable,skeleton,SHD,77.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g02/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g05,DCDI-vanilla,directed,SHD,101.0,325.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g05/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g05,DCDI-vanilla,directed,F1,0.3703703703703703,325.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g05/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g05,DCDI-vanilla,skeleton,SHD,98.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g05/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g05,DCDI-jStable,directed,SHD,81.0,123.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g05/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g05,DCDI-jStable,directed,F1,0.334975369458128,123.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g05/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g05,DCDI-jStable,skeleton,SHD,79.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g05/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g10,DCDI-vanilla,directed,SHD,113.0,336.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g10/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g10,DCDI-vanilla,directed,F1,0.3461538461538461,336.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g10/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g10,DCDI-vanilla,skeleton,SHD,106.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g10/vanilla_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g10,DCDI-jStable,directed,SHD,72.0,126.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g10/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g10,DCDI-jStable,directed,F1,0.378640776699029,126.0,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g10/jstable_val/summary.json
lin_perfect_d20_e4,lin_perfect_d20_e4,g10,DCDI-jStable,skeleton,SHD,70.0,,/Users/sridharmahadevan/Downloads/tces-2/runs/synth/lin_perfect_d20_e4/g10/jstable_val/summary.json
