alpha,mode,TP,FP,FN,TN,precision,recall,f1,shd
001,j_intersection,5,5,12,99,0.5,0.29411764705882354,0.37037037037037035,17
001,j_k1,5,5,12,99,0.5,0.29411764705882354,0.37037037037037035,17
001,pooled,9,9,8,95,0.5,0.5294117647058824,0.5142857142857143,17
002,j_intersection,5,5,12,99,0.5,0.29411764705882354,0.37037037037037035,17
002,j_k1,5,5,12,99,0.5,0.29411764705882354,0.37037037037037035,17
002,pooled,9,11,8,93,0.45,0.5294117647058824,0.48648648648648646,19
0005,j_intersection,4,4,13,100,0.5,0.23529411764705882,0.31999999999999995,17
0005,j_k1,4,4,13,100,0.5,0.23529411764705882,0.31999999999999995,17
0005,pooled,8,8,9,96,0.5,0.47058823529411764,0.48484848484848486,17
